br?	Month	EXT_STAT-m1_is_missing	EXT_STAT-m1_=_C	EXT_STAT-m1_=_E	EXT_STAT-m1_=_I	INT_STAT-m1_is_missing	INT_STAT-m1_=_N	INT_STAT-m1_=_O	INT_STAT-m1_=_X	CASH-m1	EXT_STAT-m1_=_I*INT_STAT-m1_is_missing 	Calibrator
1	15	1	0	0	0	0	0	0	1	20.99	0	-0.0221929
1	18	1	0	0	0	1	0	0	0	12.9	0	-0.0169776
1	9	1	0	0	0	0	0	0	0	11.99	0	-0.0590717
1	15	-1.11022e-16	0	1	0	0	0	0	1	12.99	0	0.243679
1	15	-1.11022e-16	0	1	0	0	0	0	1	14.99	0	0.212206
1	17	1	0	0	0	0	0	0	0	12.65	0	-0.012697
1	9	-1.11022e-16	0	1	0	0	0	0	0	19.8	0	0.00188009
1	15	1	0	0	0	0	0	0	0	13.99	0	-0.0350811
1	10	1	0	0	0	0	0	0	0	16.99	0	-0.102003
1	14	1	0	0	0	1	0	0	0	17.99	0	0.139888
1	7	-1.11022e-16	0	1	0	0	0	0	0	14.4	0	0.0293072
1	17	1	0	0	0	0	0	0	0	15.24	0	-0.032481
1	18	-1.11022e-16	0	1	0	0	0	0	0	20.24	0	0.0528937
1	14	1	0	0	0	1	0	0	0	12.99	0	0.0445446
1	16	-1.11022e-16	0	1	0	0	0	0	0	11.99	0	0.13693
1	14	-1.11022e-16	0	1	0	0	0	0	1	17.99	0	0.153023
1	17	-1.11022e-16	0	1	0	0	0	0	1	15.24	0	0.232841
1	16	1	0	0	0	0	0	0	1	17.99	0	0.00483155
1	18	-1.11022e-16	0	1	0	0	0	0	0	12.99	0	0.145498
1	10	1	0	0	0	1	0	0	0	14.99	0	0.142198
1	10	-1.11022e-16	0	1	0	0	0	0	0	14.99	0	0.0437536
1	10	1	0	0	0	0	0	0	0	18.99	0	-0.122937
1	7	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.0576473
1	9	-1.11022e-16	0	1	0	0	0	0	0	13.4	0	0.0511939
1	15	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.106072
