-4.76275e-05 0.0960674 0.00323059 0.00615887 0.00323059 0.00615887  0.114799     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0958878 0.00323059 0.00615887 0.00323059 0.00615887  0.114619     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0957082 0.00323059 0.00615887 0.00323059 0.00615887  0.11444     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0955286 0.00323059 0.00615887 0.00323059 0.00615887  0.11426     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.095349 0.00323059 0.00615887 0.00323059 0.00615887  0.11408     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0951691 0.00323059 0.00615887 0.00323059 0.00615887  0.1139     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0949892 0.00323059 0.00615887 0.00323059 0.00615887  0.11372     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0948092 0.00323059 0.00615887 0.00323059 0.00615887  0.113541     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0946293 0.00323059 0.00615887 0.00323059 0.00615887  0.113361     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0944494 0.00323059 0.00615887 0.00323059 0.00615887  0.113181     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0942694 0.00323059 0.00615887 0.00323059 0.00615887  0.113001     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0942694 0.00323059 0.00615887 0.00323059 0.00615887  0.113001     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0940888 0.00323059 0.00615887 0.00323059 0.00615887  0.11282     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0939082 0.00323059 0.00615887 0.00323059 0.00615887  0.112639     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0937276 0.00323059 0.00615887 0.00323059 0.00615887  0.112459     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0935469 0.00323059 0.00615887 0.00323059 0.00615887  0.112278     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0933663 0.00323059 0.00615887 0.00323059 0.00615887  0.112098     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0931857 0.00323059 0.00615887 0.00323059 0.00615887  0.111917     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0930051 0.00323059 0.00615887 0.00323059 0.00615887  0.111736     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0928244 0.00323059 0.00615887 0.00323059 0.00615887  0.111556     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0926438 0.00323059 0.00615887 0.00323059 0.00615887  0.111375     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0924632 0.00323059 0.00615887 0.00323059 0.00615887  0.111194     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0922826 0.00323059 0.00615887 0.00323059 0.00615887  0.111014     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0921019 0.00323059 0.00615887 0.00323059 0.00615887  0.110833     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0919213 0.00323059 0.00615887 0.00323059 0.00615887  0.110653     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0917407 0.00323059 0.00615887 0.00323059 0.00615887  0.110472     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0915601 0.00323059 0.00615887 0.00323059 0.00615887  0.110291     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0913794 0.00323059 0.00615887 0.00323059 0.00615887  0.110111     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0911988 0.00323059 0.00615887 0.00323059 0.00615887  0.10993     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0910182 0.00323059 0.00615887 0.00323059 0.00615887  0.109749     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0908376 0.00323059 0.00615887 0.00323059 0.00615887  0.109569     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0906569 0.00323059 0.00615887 0.00323059 0.00615887  0.109388     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0904763 0.00323059 0.00615887 0.00323059 0.00615887  0.109208     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0902957 0.00323059 0.00615887 0.00323059 0.00615887  0.109027     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0901151 0.00323059 0.00615887 0.00323059 0.00615887  0.108846     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0899344 0.00323059 0.00615887 0.00323059 0.00615887  0.108666     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0897538 0.00323059 0.00615887 0.00323059 0.00615887  0.108485     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0895732 0.00323059 0.00615887 0.00323059 0.00615887  0.108304     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0893926 0.00323059 0.00615887 0.00323059 0.00615887  0.108124     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0892119 0.00323059 0.00615887 0.00323059 0.00615887  0.107943     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0890313 0.00323059 0.00615887 0.00323059 0.00615887  0.107763     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0888507 0.00323059 0.00615887 0.00323059 0.00615887  0.107582     SS 13608.7 --> 11090 R2 = 0.185086
-4.76275e-05 0.0886701 0.00323059 0.00615887 0.00323059 0.00615887  0.107401     SS 13608.7 --> 11090 R2 = 0.185086
